metric,dataset,scenario,target_method,baseline_method,n_paired_folds,mean_difference,sd_difference,wilcoxon_statistic,wilcoxon_p_two_sided,wilcoxon_p_fdr_bh
auc,human,cold_protein,arnoldi_s12,gcn,15,-0.04433429324988982,0.04241782281464634,9.0,0.00201416015625,0.0028250558035714285
auc,human,cold_protein,arnoldi_s12,colddti,15,-0.03481396139428672,0.02366784825142288,2.0,0.00018310546875,0.0002825055803571429
auc,human,cold_protein,arnoldi_s12,drugban,15,0.0035745324478460385,0.029057571226230282,55.0,0.803955078125,0.8308818032296651
auc,human,cold_protein,arnoldi_s12,arnoldi_v4,15,0.013778588466906843,0.023596696154814044,17.0,0.012451171875,0.0166015625
auc,human,cold_protein,arnoldi_s12,arnoldi_s1,15,-0.0013037771873102362,0.010909118799498652,46.0,0.45428466796875,0.5137460119437173
auc,human,cold_protein,arnoldi_s12,arnoldi_s2,15,-3.997235077897917e-07,0.010528803692474392,51.0,0.638671875,0.6967329545454546
auc,human,cold_protein,arnoldi_s12,arnoldi_s12_shuffle,15,0.013852868327875726,0.020673115227929115,17.0,0.012451171875,0.0166015625
auc,human,cold_pair,arnoldi_s12,lr,15,0.04511394442768881,0.10059688619933792,32.0,0.12054443359375,0.14794089577414773
auc,human,cold_pair,arnoldi_s12,mlp,15,-0.0357379641571554,0.08104806892029054,34.0,0.15142822265625,0.18375559603230338
auc,human,cold_pair,arnoldi_s12,gcn,15,0.10563035785944089,0.148258136957506,14.0,0.0067138671875,0.009178451344936708
auc,human,cold_pair,arnoldi_s12,colddti,15,0.004221654931582874,0.07471185353875127,42.0,0.33026123046875,0.3876979662024457
auc,human,cold_pair,arnoldi_s12,drugban,15,0.00994430243383786,0.06103886972408508,43.0,0.359130859375,0.4126184341755319
auc,human,cold_pair,arnoldi_s12,arnoldi_v4,15,-0.02060262663413121,0.06100825283617527,43.0,0.359130859375,0.4126184341755319
auc,human,cold_pair,arnoldi_s12,arnoldi_s1,15,-0.025101055371224767,0.040774095285658146,21.0,0.02557373046875,0.033077399887724554
auc,human,cold_pair,arnoldi_s12,arnoldi_s2,15,-0.0036343423859817037,0.07055385853455377,54.0,0.76153564453125,0.7985033942657767
auc,human,cold_pair,arnoldi_s12,arnoldi_s12_shuffle,15,-0.022082165165272123,0.08068737334224851,52.0,0.67877197265625,0.7294265974813433
auc,bindingdb,random,arnoldi_s12,lr,15,0.11689655471520513,0.00212995036949632,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,random,arnoldi_s12,mlp,15,0.0035423630194255577,0.0009659403484849049,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,random,arnoldi_s12,gcn,15,0.05752670628020062,0.0021384736276620414,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,random,arnoldi_s12,colddti,15,0.041043053176564634,0.0018560657453114031,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,random,arnoldi_s12,drugban,15,0.0028059520148710306,0.0016008067108837464,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,random,arnoldi_s12,arnoldi_v4,15,0.09045896940055931,0.010108327701518793,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,random,arnoldi_s12,arnoldi_s1,15,0.0013239767501491547,0.000672181614174774,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,random,arnoldi_s12,arnoldi_s2,15,0.002450265418111915,0.0005479927513271185,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,random,arnoldi_s12,arnoldi_s12_shuffle,15,0.08729104605782255,0.009427699563551599,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_drug,arnoldi_s12,lr,15,0.11204064073857072,0.004323016833246636,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_drug,arnoldi_s12,mlp,15,6.997649782365389e-05,0.001772943439133402,57.0,0.890380859375,0.9029214348591549
auc,bindingdb,cold_drug,arnoldi_s12,gcn,15,0.05608102831188672,0.0038989160479225163,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_drug,arnoldi_s12,colddti,15,0.039362819161528936,0.00353259102831659,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_drug,arnoldi_s12,drugban,15,0.0006871960122981857,0.002442659085331424,45.0,0.42120361328125,0.4788420024671053
auc,bindingdb,cold_drug,arnoldi_s12,arnoldi_v4,15,0.04491385413996033,0.00499843259412404,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_drug,arnoldi_s12,arnoldi_s1,15,-0.0001397707232711672,0.0014367620600857602,52.0,0.67877197265625,0.7294265974813433
auc,bindingdb,cold_drug,arnoldi_s12,arnoldi_s2,15,0.003942434147700036,0.0023313558368539757,1.0,0.0001220703125,0.00019246122262773724
auc,bindingdb,cold_drug,arnoldi_s12,arnoldi_s12_shuffle,15,0.04469760256208736,0.004236751305985255,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_protein,arnoldi_s12,lr,15,0.17947041646708134,0.0716975774672686,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_protein,arnoldi_s12,mlp,15,-0.07979932965836897,0.0677399650392254,9.0,0.00201416015625,0.0028250558035714285
auc,bindingdb,cold_protein,arnoldi_s12,gcn,15,0.18306700265419362,0.09609661000614618,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_protein,arnoldi_s12,colddti,15,0.19503311343845345,0.07750278689723446,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_protein,arnoldi_s12,drugban,15,0.0707189853823177,0.0756221592769669,10.0,0.00262451171875,0.003657384072580645
auc,bindingdb,cold_protein,arnoldi_s12,arnoldi_v4,15,0.17531727472781533,0.047060403504045965,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_protein,arnoldi_s12,arnoldi_s1,15,0.009095618807687248,0.057698710977467295,52.0,0.67877197265625,0.7294265974813433
auc,bindingdb,cold_protein,arnoldi_s12,arnoldi_s2,15,0.11643190110429923,0.054201701348264644,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_protein,arnoldi_s12,arnoldi_s12_shuffle,15,0.1827749380372477,0.04886532528130875,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_pair,arnoldi_s12,lr,15,0.20093515978074797,0.04652824255298396,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_pair,arnoldi_s12,mlp,15,-0.08661072739802687,0.04328887952937306,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_pair,arnoldi_s12,gcn,15,0.21859571869799008,0.04998330635646874,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_pair,arnoldi_s12,colddti,15,0.2064997058765348,0.05111400588965996,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_pair,arnoldi_s12,drugban,15,0.08840450992921359,0.06473687739630397,1.0,0.0001220703125,0.00019246122262773724
auc,bindingdb,cold_pair,arnoldi_s12,arnoldi_v4,15,0.15355158119495532,0.053120750370089474,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_pair,arnoldi_s12,arnoldi_s1,15,-0.0009049756963325291,0.021026904885269104,58.0,0.93408203125,0.9384265988372092
auc,bindingdb,cold_pair,arnoldi_s12,arnoldi_s2,15,0.1296215525035522,0.03222020403500994,0.0,6.103515625e-05,9.912476503759398e-05
auc,bindingdb,cold_pair,arnoldi_s12,arnoldi_s12_shuffle,15,0.1490485172795984,0.06038438620709128,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,random,arnoldi_s12,lr,15,0.37282165794319017,0.013629022984992302,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,random,arnoldi_s12,mlp,15,0.08459260580396206,0.0059637181059499205,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,random,arnoldi_s12,gcn,15,0.21257433583559754,0.03979736854953741,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,random,arnoldi_s12,colddti,15,0.1981676643684639,0.015110288070705635,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,random,arnoldi_s12,drugban,15,0.07173081084701553,0.009985182804515413,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,random,arnoldi_s12,arnoldi_v4,15,0.17211547586789633,0.012584209506073458,0.0,6.103515625e-05,9.912476503759398e-05
