method,method_label,dataset,scenario,auc_mean,auc_std,auc_count,aupr_mean,aupr_std,aupr_count,f1_mean,f1_std,f1_count,accuracy_mean,accuracy_std,accuracy_count
arnoldi_s1,ArnoldiGCL + S1,human,cold_protein,0.7558975631718494,0.04398567485891616,15,0.4919975426099313,0.08805550250433117,15,0.464840243591249,0.10842711044361515,15,0.8846071241841531,0.1070082050396146,15
arnoldi_s1,ArnoldiGCL + S1,human,random,0.9330701458720282,0.006440033577750662,15,0.7657477250173329,0.014513188383691308,15,0.6991456119241888,0.01597811306448262,15,0.9481525451410228,0.0033705955639235547,15
arnoldi_s12,ArnoldiGCL + S1+S2,bindingdb,cold_drug,0.9733147588332505,0.0029762224171732284,15,0.9282862977802074,0.006734745863148766,15,0.9043319966715947,0.006045896258843514,15,0.9837524993524756,0.0009849471235278703,15
arnoldi_s12,ArnoldiGCL + S1+S2,bindingdb,cold_pair,0.7337166531751045,0.03887266803612696,15,0.3726817511656051,0.07691817153278556,15,0.38300773026753376,0.06325159935001913,15,0.8841301097507663,0.03826204656167128,15
arnoldi_s12,ArnoldiGCL + S1+S2,bindingdb,cold_protein,0.7337913879685606,0.07061499562040917,15,0.36396582402740046,0.10027958638454075,15,0.37482473767666924,0.10256218649701627,15,0.8739705590800728,0.07643431857206529,15
arnoldi_s12,ArnoldiGCL + S1+S2,bindingdb,random,0.9819878834969171,0.001323204155911917,15,0.9468354084066479,0.003317672914890762,15,0.9227227648170379,0.005424095774482866,15,0.9865253199240559,0.0008895825059806466,15
arnoldi_s12,ArnoldiGCL + S1+S2,biosnap,cold_drug,0.896880811349129,0.008242725441980925,15,0.7219893721725358,0.015076456688621953,15,0.6917763649723268,0.015101003067998844,15,0.9503660145744689,0.00229179526048347,15
arnoldi_s12,ArnoldiGCL + S1+S2,biosnap,cold_pair,0.7545203163501157,0.027885378939015586,15,0.39393506258624333,0.03648420731626832,15,0.38153587836150066,0.048276789971591245,15,0.878435046197636,0.04500493552325176,15
arnoldi_s12,ArnoldiGCL + S1+S2,biosnap,cold_protein,0.8413876888947871,0.02230229296683259,15,0.5967721252354281,0.03393835288923971,15,0.5634342806813953,0.027299008636204082,15,0.9283287109599047,0.0055571393551664995,15
arnoldi_s12,ArnoldiGCL + S1+S2,biosnap,random,0.9394499284340877,0.004392853104549241,15,0.8309070448105416,0.0071306748587655,15,0.7870557977321716,0.006934021379519666,15,0.9634523105238941,0.0013897570835381462,15
arnoldi_s12,ArnoldiGCL + S1+S2,human,cold_drug,0.878181146024843,0.025327082302521658,15,0.5884673796097795,0.0748344104030058,15,0.5172103895153357,0.0635444635086842,15,0.9255659993886357,0.01060708477536481,15
arnoldi_s12,ArnoldiGCL + S1+S2,human,cold_pair,0.6139281113195931,0.0766355546117042,15,0.1783101144986758,0.06485270311480786,15,0.20201931372255072,0.05537773912672988,15,0.6250255516715664,0.20683706469150337,15
arnoldi_s12,ArnoldiGCL + S1+S2,human,cold_protein,0.7545937859845392,0.042925688722841714,15,0.49581392990235634,0.08326326227733702,15,0.47214492069391667,0.09437382505817314,15,0.8991456256078614,0.08560174771812395,15
arnoldi_s12,ArnoldiGCL + S1+S2,human,random,0.9338142604146424,0.005676504804245717,15,0.7675084863506618,0.018248888876193543,15,0.7024201404031367,0.02033167196449446,15,0.9498782312340656,0.0040997708027156275,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,bindingdb,cold_drug,0.9286171562711633,0.00321699122963474,15,0.6557300042878219,0.025760111139886233,15,0.6137866727432671,0.015521446317670547,15,0.9226913325071546,0.006622655134560236,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,bindingdb,cold_pair,0.584668135895506,0.05145859908126972,15,0.12285078335649577,0.025948406873258174,15,0.18330148307172714,0.02756554985778742,15,0.5932938936131067,0.1644299965324554,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,bindingdb,cold_protein,0.5510164499313128,0.04462133907975307,15,0.1304596626802575,0.021282034572546148,15,0.16742864685282197,0.01368904102942053,15,0.35479053289479207,0.23420818322105608,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,bindingdb,random,0.8946968374390946,0.010261253639787244,15,0.5650496966491734,0.032788317299807,15,0.5348469089771851,0.021415637144092878,15,0.9173696278549008,0.004151249910184129,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,biosnap,cold_drug,0.8653136011041703,0.008205632941225744,15,0.5754930920373179,0.024076888799952283,15,0.552264718625397,0.01825764972302634,15,0.9237944360957606,0.006323594643185655,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,biosnap,cold_pair,0.6719596996084682,0.029331248750945216,15,0.219879921555518,0.028500019235021806,15,0.23898535428287582,0.05392948477813115,15,0.8466258654671585,0.07372330711696834,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,biosnap,cold_protein,0.7415149777233263,0.0306660075809575,15,0.35174945945210745,0.050616140350737505,15,0.38863057618475655,0.05375887439755223,15,0.8957120824928487,0.016206658052156677,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,biosnap,random,0.9013595466905494,0.0074265447278314715,15,0.6576173492211868,0.013680345963432927,15,0.6141756243475313,0.011746353335484199,15,0.9341396612546287,0.003300458099883626,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,human,cold_drug,0.8729960823774326,0.03371506725384514,15,0.5109050730906065,0.06570832217925006,15,0.45031183802159475,0.059738613027218244,15,0.8986305628468679,0.015596388448330717,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,human,cold_pair,0.6360102764848653,0.04752718941636414,15,0.17169020034045748,0.046719494686742184,15,0.1964680136424965,0.04718281922182967,15,0.7030496333858522,0.15659757007229202,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,human,cold_protein,0.7407409176566635,0.04152241296639921,15,0.4666596667631458,0.07899515112283266,15,0.4400196914836156,0.10313804869228772,15,0.8789179320608157,0.10964118026869711,15
arnoldi_s12_shuffle,ArnoldiGCL + shuffled S1+S2,human,random,0.9249082135221764,0.006062268829139721,15,0.7162785627768146,0.016806999680803875,15,0.6490216340263297,0.016170654530781182,15,0.9415116380506241,0.0028983709767578408,15
arnoldi_s2,ArnoldiGCL + S2,bindingdb,cold_drug,0.9693723246855506,0.004034222480059215,15,0.916183177356796,0.008079403178536126,15,0.8953236735501628,0.006310561630576488,15,0.9822500224542587,0.0009622774909325737,15
arnoldi_s2,ArnoldiGCL + S2,bindingdb,cold_pair,0.6040951006715523,0.024929165437539293,15,0.14468100326404956,0.020958927154725776,15,0.19631294145410985,0.02134468939850076,15,0.7117651380558282,0.12027097569685093,15
arnoldi_s2,ArnoldiGCL + S2,bindingdb,cold_protein,0.6173594868642613,0.041139756111208424,15,0.24021051440447916,0.04045197158540893,15,0.21889999564948834,0.041888680671526686,15,0.7314303846432305,0.287018508011394,15
arnoldi_s2,ArnoldiGCL + S2,bindingdb,random,0.9795376180788052,0.0016828463904143345,15,0.9390404295582814,0.003962253229408553,15,0.9104821413128391,0.00413283573954029,15,0.984467375992096,0.0006581943165150272,15
arnoldi_s2,ArnoldiGCL + S2,biosnap,cold_drug,0.8952547829018246,0.005314917448197064,15,0.7082286725817659,0.013601156354701452,15,0.6673263245005401,0.011164648277709422,15,0.9466745564714073,0.001772423096443129,15
arnoldi_s2,ArnoldiGCL + S2,biosnap,cold_pair,0.6926268754528663,0.03731021515158927,15,0.28107884569863967,0.051703624121940135,15,0.2736714011337661,0.06650375125967006,15,0.8558669626718859,0.06354879907223794,15
arnoldi_s2,ArnoldiGCL + S2,biosnap,cold_protein,0.8067332795719585,0.032737936671696125,15,0.5580680545556712,0.049292030637788545,15,0.5384728167313486,0.04688486620011555,15,0.9313528109308975,0.009568847600345255,15
arnoldi_s2,ArnoldiGCL + S2,biosnap,random,0.9364880420531863,0.005060074946275551,15,0.8212468316935777,0.007696767740404604,15,0.7748283194718315,0.0060659113628897775,15,0.9615635750125989,0.0013188762283288693,15
arnoldi_s2,ArnoldiGCL + S2,human,cold_drug,0.8775306075548727,0.027142387916554604,15,0.5584902859041875,0.07221800080372036,15,0.4764317636908959,0.061485231149633716,15,0.9103649541629382,0.008197897174297872,15
