method,method_label,dataset,scenario,seed,fold,split_signature,best_val_auc,n_test_positive,accuracy,auc,aupr,f1,threshold
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,983997847,4,265ebe6c7813d7d91f031416042ef8a1914cf0307163f2e590e14d3be8496eaa,0.7659811147325326,3798,0.8501364354444924,0.6968104419304415,0.2918145389001061,0.3352797536893513,0.10239703437134828
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,1941488137,0,b9f98ff3affb86a1ce4b9c5e5472552e0a3af3744fa4dc64867fb8ca8a7429c5,0.9806542418876814,4135,0.9851379575684291,0.9804431220199757,0.9420838423446053,0.9134443021766966,0.9493921976710018
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,1941488137,1,df7fca01d0b5a54dcc2c252649e73083ec1e03258bb2ba439dac4818d4116d32,0.9807595159731493,4135,0.9854017808068594,0.980184925628245,0.941152458316155,0.9159919028340081,0.9177002805308119
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,1941488137,2,e37319a5252456b0cc89339cc40f83f8ec8d2f500338ef847eb2394b202c8a1c,0.9839005401145441,4135,0.9855556776959438,0.9835373057729676,0.9453823877704696,0.9162096671342941,0.9367506167006817
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,1941488137,3,95055dd9f725f176b4a64f81e2a0e31b3e2c38f4ab090b7d7294df43883af058,0.9799570752227206,4135,0.9843025173134,0.9790432077013842,0.9397626771129481,0.9091603053435114,0.8924944138690218
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,1941488137,4,bc251326e2f97ec272acb637b42fda0727940e6e0898341d9a1cc3254c6c327b,0.9802659705905143,4134,0.9846285789682017,0.9817563017716372,0.9429652079233174,0.9119758216849263,0.9023446233305215
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,4198936517,0,e19bb407247a1c3f9a14d3d79cb8a3d6a8146026a241c41e590d6d6d17e2d3b7,0.9812474138397408,4135,0.9856875893151589,0.9812182024742335,0.9450217381014613,0.9177095183921122,0.9102126939166076
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,4198936517,1,95cdd6a9a549c0f479bbeda625fb14b4b7422a760aa633756e0585d4b7a1f46b,0.9844410384703675,4135,0.9857975156645048,0.9821876569059069,0.9454999037799008,0.9180411063181934,0.9412428283038202
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,4198936517,2,eebf7de3343762db7f3b4472b0332993b822fe13571c34630f8b932c3b6554d3,0.9760073779588232,4135,0.9837968561064087,0.977788586242139,0.9335718799072278,0.9049154947748678,0.941649418628379
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,4198936517,3,0705f193b18c75afb116332bc4434d9d915e73660944c5a068ffa67401f3f12b,0.9785400056146177,4135,0.9840826646147082,0.9791941941341865,0.9381155407486854,0.9063389391979302,0.9589681375271621
